"Category module"," Post Course","Course id","Course Schedule","Name","Skill Level","Status"
"","Preparation for Newborns","1738631920240x970515425764835300","","1.1 What is Normal ","","Publish"
"","Preparation for Newborns","1738631920240x970515425764835300","","1.2 Poo (stool, bowel action)","","Publish"
"","Preparation for Newborns","1738631920240x970515425764835300","","1.3 Awake Times ","","Publish"
"","Preparation for Newborns","1738631920240x970515425764835300","","1.4 Sleep Environment","","Publish"
"","Preparation for Newborns","1738631920240x970515425764835300","","1.5 Winding and Burping","","Publish"
"","Preparation for Newborns","1738631920240x970515425764835300","","Vomits, Spills, Possets and Reflux","","Publish"
"","Preparation for Newborns","1738631920240x970515425764835300","","1.7 Rashes and Other Things","","Publish"
"","Preparation for Newborns","1738631920240x970515425764835300","","1.8 Breastmilk vs Formula ","","Publish"
"","Preparation for Newborns","1738631920240x970515425764835300","","1.9 Maternal Nutrition","","Publish"
"Baby Sleep","Preparation for Newborns","1738631920240x970515425764835300","","1.10 Babies and Breastmilk","Intermediate","Publish"
"","Preparation for Newborns","1738631920240x970515425764835300","","1.11 Managing Common Breastfeeding Problems","","Publish"
"","Preparation for Newborns","1738631920240x970515425764835300","","1.12 Hunger Signs","","Publish"
"","Preparation for Newborns","1738631920240x970515425764835300","","1.13 Tired Signs ","","Publish"
"","Preparation for Newborns","1738631920240x970515425764835300","","1.14 Settling and Unsettled Babies","","Publish"
"","Preparation for Newborns","1738631920240x970515425764835300","","1.15 The Role of the Non-Breastfeeding Parent ","","Publish"
"","Preparation for Newborns","1738631920240x970515425764835300","","1.16 Bathing","","Publish"
"","Preparation for Newborns","1738631920240x970515425764835300","","1.17 Swaddling ","","Publish"
"","Preparation for Newborns","1738631920240x970515425764835300","","1.18 Tummy Time ","","Publish"
"","Preparation for Newborns","1738631920240x970515425764835300","","1.19 Development","","Publish"
"","Preparation for Newborns","1738631920240x970515425764835300","","1.20 Pacifiers and Dummies","","Publish"
"","Preparation for Newborns","1738631920240x970515425764835300","","1.21 Parental Wellbeing","","Publish"
"","Preparation for Newborns","1738631920240x970515425764835300","","Frequently Asked Questions","","Publish"
"","Preparation for Newborns","1738631920240x970515425764835300","","Evidence Based Research & Clinical Experience","","Publish"
"","Little Baby Sleep Program","1738211381074x619811994544111600","","Little Baby: 4-16 Weeks","","Publish"
"","","1738844559200x484457750964731900","","Newborn: 0-4 Weeks","","Publish"
"","","1738844559200x484457750964731900","","Newborn: 0-4 WeeksNewborn: 0-4 Weeks","","Draft"
"Baby Sleep","","1738997097726x729091635170508800","","Model testing","Intermediate","Publish"
"","","1739065040965x300688505535201300","","Little Baby: 4-16 Weeks","","Draft"
"","Little Baby Sleep Program","1738211381074x619811994544111600","","1.1 Sleep Environment","","Publish"
"","Little Baby Sleep Program","1738211381074x619811994544111600","","1.2 Swaddling","","Publish"
"","Little Baby Sleep Program","1738211381074x619811994544111600","","1.3 Wind and Burping","","Publish"
"","Little Baby Sleep Program","1738211381074x619811994544111600","","1.4 Tired Signs","","Publish"
"","Little Baby Sleep Program","1738211381074x619811994544111600","","1.5 Awake Times","","Publish"
"Baby Sleep","Little Baby Sleep Program","1738211381074x619811994544111600","","1.6 Routine","Beginner","Publish"
"","Little Baby Sleep Program","1738211381074x619811994544111600","","1.7 Sleep Cycles","","Publish"
"","Little Baby Sleep Program","1738211381074x619811994544111600","","1.8 Settling and Calming Babies","","Publish"
"","Little Baby Sleep Program","1738211381074x619811994544111600","","1.9 The Role of Dads and Non-Breastfeeding Parents","","Publish"
"","Little Baby Sleep Program","1738211381074x619811994544111600","","1.10 Breastmilk and Formula","","Publish"
"","Little Baby Sleep Program","1738211381074x619811994544111600","","1.11 Maternal Nutrition","","Publish"
"Baby Sleep","Little Baby Sleep Program","1738211381074x619811994544111600","","1.12 Babies & Milk ","Beginner","Publish"
"","Little Baby Sleep Program","1738211381074x619811994544111600","","1.13 Managing Common Breastfeeding Problems","","Publish"
"","Little Baby Sleep Program","1738211381074x619811994544111600","","1.14 Development","","Publish"
"","Little Baby Sleep Program","1738211381074x619811994544111600","","1.15 Possets, Vomit, Spills and Reflux ","","Publish"
"","Little Baby Sleep Program","1738211381074x619811994544111600","","1.16 Getting Out of the House","","Publish"
"","Little Baby Sleep Program","1738211381074x619811994544111600","","1.17 Parental Wellbeing","","Publish"
"","Little Baby Sleep Program","1738211381074x619811994544111600","","Bottle Rejection","","Publish"
"","Little Baby Sleep Program","1738211381074x619811994544111600","","1.19 Travelling with Little Babies","","Publish"
"","Little Baby Sleep Program","1738211381074x619811994544111600","","1.20 Troubleshooting and Other","","Publish"
"","Little Baby Sleep Program","1738211381074x619811994544111600","","Evidence Based Clinical Research & Clinical Experience ","","Publish"
"","Big Baby Sleep Program","1738211436896x174196059034091520","","1.1 Sleep Environment","","Publish"
"","Big Baby Sleep Program","1738211436896x174196059034091520","","1.2 Introducing Solids","","Publish"
"","Big Baby Sleep Program","1738211436896x174196059034091520","","1.3 Routine","","Publish"
"","Big Baby Sleep Program","1738211436896x174196059034091520","","1.4 Sleep Cycles","","Publish"
"","Big Baby Sleep Program","1738211436896x174196059034091520","","1.5 Settling Techniques","","Publish"
"","Big Baby Sleep Program","1738211436896x174196059034091520","","1.6 Role of the Non-Breastfeeding Parent","","Publish"
"","Big Baby Sleep Program","1738211436896x174196059034091520","","1.7 Winding, Burping and More","","Publish"
"","Big Baby Sleep Program","1738211436896x174196059034091520","","1.8 Development","","Publish"
"","Big Baby Sleep Program","1738211436896x174196059034091520","","1.9 Teething","","Publish"
"","Big Baby Sleep Program","1738211436896x174196059034091520","","1.10 Bottle Refusal ","","Publish"
"","Big Baby Sleep Program","1738211436896x174196059034091520","","1.11 Tummy Time & Activity ","","Publish"
"","Big Baby Sleep Program","1738211436896x174196059034091520","","1.12 Sleep Props: Dummies & Comforters","","Publish"
"","Big Baby Sleep Program","1738211436896x174196059034091520","","1.13 Daycare","","Publish"
"","Big Baby Sleep Program","1738211436896x174196059034091520","","1.14 Travelling with Babies","","Publish"
"","Big Baby Sleep Program","1738211436896x174196059034091520","","1.15 Parental Wellbeing ","","Publish"
"Baby Sleep","Big Baby Sleep Program","1738211436896x174196059034091520","","1.16 Troubleshooting & Other ","Beginner","Publish"
"","Big Baby Sleep Program","1738211436896x174196059034091520","","Evidence Based Clinical Research and Clinical Experience","","Publish"
"Toddler Sleep","Pre-Toddler Sleep Program","1738211513350x866090906720665600","","Pre Toddler: 8-12 Months","Beginner","Publish"
"","Pre-Toddler Sleep Program","1738211513350x866090906720665600","","1.1 Sleep Environment","","Publish"
"Toddler Sleep","Pre-Toddler Sleep Program","1738211513350x866090906720665600","","1.2 Routine","Beginner","Publish"
"","Pre-Toddler Sleep Program","1738211513350x866090906720665600","","1.3 Sleep Cycles","","Publish"
"Toddler Sleep","Pre-Toddler Sleep Program","1738211513350x866090906720665600","","1.4 Settling Techniques","Beginner","Publish"
"","Pre-Toddler Sleep Program","1738211513350x866090906720665600","","1.5 Role of the Non-Breastfeeding Parent","","Publish"
"","Pre-Toddler Sleep Program","1738211513350x866090906720665600","","1.6 Sleep Props","","Publish"
"Toddler Sleep","Pre-Toddler Sleep Program","1738211513350x866090906720665600","","1.7 Nutrition","Beginner","Publish"
"Toddler Sleep","Pre-Toddler Sleep Program","1738211513350x866090906720665600","","1.8 Development","Beginner","Publish"
"","Pre-Toddler Sleep Program","1738211513350x866090906720665600","","1.9 Teething","","Publish"
"Toddler Sleep","Pre-Toddler Sleep Program","1738211513350x866090906720665600","","1.10 Activities, Getting Out & Travelling with Babies","Beginner","Publish"
"","Pre-Toddler Sleep Program","1738211513350x866090906720665600","","1.11 Daycare","","Publish"
"","Pre-Toddler Sleep Program","1738211513350x866090906720665600","","1.12 Bottle Refusal","","Publish"
"","Pre-Toddler Sleep Program","1738211513350x866090906720665600","","1.13 Parental Wellbeing","","Publish"
"Toddler Sleep","Pre-Toddler Sleep Program","1738211513350x866090906720665600","","1.14 Troublshooting","Beginner","Publish"
"","Pre-Toddler Sleep Program","1738211513350x866090906720665600","","Evidence Based Clinical Research & Clinical Experience","","Publish"
"Toddler Sleep","Toddler Sleep Program","1738211565701x843388859190345700","","1.1 Sleep Environment ","Beginner","Publish"
"","Toddler Sleep Program","1738211565701x843388859190345700","","1.2 Routine","","Publish"
"Toddler Sleep","Toddler Sleep Program","1738211565701x843388859190345700","","1.3 Settling Techniques","Beginner","Publish"
"","Toddler Sleep Program","1738211565701x843388859190345700","","1.4 Sleep Cycles","","Publish"
"","Toddler Sleep Program","1738211565701x843388859190345700","","1.5 Sleep Props","","Publish"
"","Toddler Sleep Program","1738211565701x843388859190345700","","1.6 Nutrition","","Publish"
"","Toddler Sleep Program","1738211565701x843388859190345700","","1.7 Screen Time ","","Publish"
"","Toddler Sleep Program","1738211565701x843388859190345700","","1.8 Development ","","Publish"
"","Toddler Sleep Program","1738211565701x843388859190345700","","1.9 Getting Out, Activities and Daycare","","Publish"
"","Toddler Sleep Program","1738211565701x843388859190345700","","1.10 Parental Wellbeing ","","Publish"
"","Toddler Sleep Program","1738211565701x843388859190345700","","1.11 Troubleshooting","","Publish"
"","Toddler Sleep Program","1738211565701x843388859190345700","","Evidence Based Clinical Research & Clinical Experience","","Publish"
"","Pre-School Sleep Program","1738211625998x856545795660054500","","Pre-School: 2-5 Years ","","Publish"
"Toddler Sleep","Pre-School Sleep Program","1738211625998x856545795660054500","","1.1 Sleep Environment","Beginner","Publish"
"","Pre-School Sleep Program","1738211625998x856545795660054500","","1.2 Routine","","Publish"
"","Pre-School Sleep Program","1738211625998x856545795660054500","","1.3 Nightmares and Night Terrors","","Publish"
"","Pre-School Sleep Program","1738211625998x856545795660054500","","1.4 Settling Techniques for Pre-Schoolers","","Publish"
"","Pre-School Sleep Program","1738211625998x856545795660054500","","1.5 Nutrition","","Publish"
"","Pre-School Sleep Program","1738211625998x856545795660054500","","1.6 Development","","Publish"
"","Pre-School Sleep Program","1738211625998x856545795660054500","","1.7 Getting Out","","Publish"
"","Pre-School Sleep Program","1738211625998x856545795660054500","","1.8 Kinder Transition","","Publish"
"","Pre-School Sleep Program","1738211625998x856545795660054500","","1.9 Parental Wellbeing","","Publish"
"","Pre-School Sleep Program","1738211625998x856545795660054500","","1.10 Troubleshooting","","Publish"
"","Pre-School Sleep Program","1738211625998x856545795660054500","","Evidence Based Clinical Research and Clinical Experience ","","Publish"
"","Preparation for Newborns","1738631920240x970515425764835300","","","","Draft"
"","New Sibling Supplement","1740714032807x880560269585023000","","New Sibling Supplement","","Publish"
"","New Sibling Supplement","1740714032807x880560269585023000","","1.1 Preparing Your Toddler for a New Sibling","","Publish"
"","New Sibling Supplement","1740714032807x880560269585023000","","1.2 Challenging Behaviour and Jealousy","","Publish"
"","New Sibling Supplement","1740714032807x880560269585023000","","1.3 Safety","","Publish"
"","New Sibling Supplement","1740714032807x880560269585023000","","Breastfeeding and Mealtimes","","Publish"
"","New Sibling Supplement","1740714032807x880560269585023000","","1.5 Sleep and Routines","","Publish"
"","New Sibling Supplement","1740714032807x880560269585023000","","1.6 Bathing Two or More Children","","Publish"
"","New Sibling Supplement","1740714032807x880560269585023000","","1.7 Coping Strategies","","Publish"
"","Twins Supplement","1740715399162x980182825696755700","","Twins Supplement","","Publish"
"","Twins Supplement","1740715399162x980182825696755700","","1.1 Feeding Twins","","Publish"
"","Twins Supplement","1740715399162x980182825696755700","","1.2 Twin Routines","","Publish"
"","Twins Supplement","1740715399162x980182825696755700","","1.3 Settling","","Publish"
"","Twins Supplement","1740715399162x980182825696755700","","1.4 Sleep Environment","","Publish"
"","Twins Supplement","1740715399162x980182825696755700","","1.5 Age Correction ","","Publish"
"","Twins Supplement","1740715399162x980182825696755700","","1.6 Helpful Products","","Publish"
"","Twins Supplement","1740715399162x980182825696755700","","1.7 Helpful Twin Resources","","Publish"
"","Twins Supplement","1740715399162x980182825696755700","","1.7 Getting Time Out","","Publish"
"Toddler Behavior*","Toddler Toolkit","1741822441185x826889298740510700","","Introduction","Beginner","Publish"
"","Toddler Toolkit","1741822441185x826889298740510700","","1.0 Parenting Styles and Discipline","","Publish"
"","Toddler Toolkit","1741822441185x826889298740510700","","2.0 Growing Autonomy ","","Publish"
"","Toddler Toolkit","1741822441185x826889298740510700","","3.0 Triggers and Responses","","Publish"
"","Toddler Toolkit","1741822441185x826889298740510700","","4.0 Tantrums and Meltdowns ","","Publish"
"","Toddler Toolkit","1741822441185x826889298740510700","","5.0 Aggression and Power Struggles","","Publish"
"","Toddler Toolkit","1741822441185x826889298740510700","","6.0 Fussy Eating and Nutrition","","Publish"
"","Toddler Toolkit","1741822441185x826889298740510700","","7.0 Nitty Gritty","","Publish"
"","Toddler Toolkit","1741822441185x826889298740510700","","8.0 Transitions","","Publish"
"Toddler Behavior*","Toddler Toolkit","1741822441185x826889298740510700","","9.0 Toilet Training","Beginner","Publish"
"","Toddler Toolkit","1741822441185x826889298740510700","","10.0 Development","","Publish"
"","Toddler Toolkit","1741822441185x826889298740510700","","11.0 Screen Time","","Publish"
"","Toddler Toolkit","1741822441185x826889298740510700","","12.0 Other Caregivers","","Publish"
"","Toddler Toolkit","1741822441185x826889298740510700","","13.0 Anxiety ","","Publish"
"","Toddler Toolkit","1741822441185x826889298740510700","","14.0 Body Awareness","","Publish"
"","Toddler Toolkit","1741822441185x826889298740510700","","15.0 New Sibling","","Publish"
"","Toddler Toolkit","1741822441185x826889298740510700","","Academic Papers","","Publish"
"","Toddler Toolkit","1741822441185x826889298740510700","","","","Draft"
"","Testing Allergens","1746521064418x896614461038395400","","What should I do if I think my baby is having an allergic reaction?","","Publish"
"","Testing Allergens","1746521064418x896614461038395400","","Tracking Allergy Reactions","","Publish"
"","Testing Allergens","1746521064418x896614461038395400","","Be empowered not alarmed","","Publish"
