Chapter Name,Lesson Name,Correct Lesson Content,
1.6 Routine,Power Naps for Early Morning Waking/Cat-Nappers,"<p><span style=""font-size: 16px"">A power nap is a brief 15-minute nap that helps get your baby through to the next nap time. They're used when your baby has woken early from a nap and not been able to resettle, or if they've woken early in the morning and not resettled back to sleep.</span></p><p><span style=""font-size: 16px"">These are useful from <strong>12 weeks old - 5 months old.</strong> They are a temporary solution and shouldn’t be used for weeks on end, but are very useful in the short term to help encourage them to adjust to a new routine and keep their day on track.</span></p><p><span style=""font-size: 16px"">It’s very important to <strong>wake your baby after 15 minutes</strong> to stop them from falling into a deep sleep, as otherwise, this will throw off their next nap. Power naps are fine to be assisted naps, so in the car seat, pram, or carrier is perfectly ok.</span></p><p><span style=""font-size: 16px"">How you might use a power nap is outlined below, but obviously, the timing will differ for babies depending on their age:</span></p><p><span style=""font-size: 16px""><em>Early morning waking</em></span></p><ul><li style=""font-size: 16px"">6:00 am - Baby woke and wouldn't resettle</li><li style=""font-size: 16px"">7:30 am - Power nap</li><li style=""font-size: 16px"">7:45 am - Woken from power nap</li><li style=""font-size: 16px"">8:30 am - Morning nap</li></ul><p><span style=""font-size: 16px""><em>Cat nap</em></span></p><ul><li style=""font-size: 16px"">9:00 am - Baby down for a nap</li><li style=""font-size: 16px"">9:40 am - Woke up and unable to be resettled</li><li style=""font-size: 16px"">11:00 am - Power nap in pram</li><li style=""font-size: 16px"">11:15 am - Woken from power nap</li><li style=""font-size: 16px"">12:00/12:15 pm - Down for next nap</li></ul><p><span style=""font-size: 16px""><strong>Your main priority at this age is to avoid overtiredness but still try and teach your baby to consolidate their naps.</strong></span></p>",
1.6 Routine,False Starts,"<p><span style=""font-size: 16px""><strong><em>Does your baby go to bed in the evening and then wake after 30-45 mins?</em></strong></span></p><p><span style=""font-size: 16px"">It’s like they’re treating bedtime as a nap and seem completely awake after 1 sleep cycle – these are called <strong><em>false starts</em></strong>. False starts happen for a few different reasons and they can be incredibly frustrating for parents, when you think you’ve finally got your baby down for the night.</span><br></p><p><span style=""font-size: 16px""><strong>THE MAIN CAUSES OF FALSE STARTS ARE:</strong></span></p><p><span style=""font-size: 16px""><strong>Over-tiredness</strong></span></p><ul><li style=""font-size: 16px"">When your baby is overtired, they go to bed at night with a high level of circulating cortisol, our stress hormone.</li><li style=""font-size: 16px"">This makes it harder for them to connect sleep cycles and will often wake before going into a deep sleep and will often wake crying and inconsolable.</li></ul><p><span style=""font-size: 16px""><strong>Under-tiredness</strong></span></p><ul><li style=""font-size: 16px"">This is when your baby has possibly had too much sleep during the day, or napped too close to bedtime and simply doesn’t have enough sleep pressure (or sleep debt) built up.</li><li style=""font-size: 16px"">Try extending their awake time and ensure you’re following an age appropriate routine.</li></ul><p><span style=""font-size: 16px""><strong>Unable to link sleep cycles yet</strong></span></p><ul><li style=""font-size: 16px"">At this young age it's very normal for your baby to not link their sleep cycles yet, and they may need some assistance from you to help get them back to sleep.</li><li style=""font-size: 16px"">Settling techniques like shush-pat, or being rocked, held, or a dummy being replaced.</li><li style=""font-size: 16px"">Some babies won't learn to link sleep cycles until closer to 4-5 months.</li><li style=""font-size: 16px"">Focus on creating an ideal sleep environment, eliminating hurdles, and sticking to an appropriate wake window/routine.</li></ul><p><span style=""font-size: 16px""><strong>Inappropriate daytime routine</strong></span></p><ul><li style=""font-size: 16px"">Babies thrive on routine and if they are in a routine that includes too much day sleep, or not enough day sleep, then they’re more likely to experience false starts at bedtime.</li><li style=""font-size: 16px"">It’s a good idea to review your baby’s nap times and alter them if you think it could be contributing to overnight sleep.</li></ul><p><span style=""font-size: 16px""><strong>Sleep environment</strong></span></p><ul><li style=""font-size: 16px"">This is particularly important during those months and locations that have daylight savings time.</li><li style=""font-size: 16px"">Make sure your baby’s bedroom is blacked out as much as possible, as too much light coming in can encourage them to wake after 1 sleep cycle before the sun goes down for the day.</li></ul>",
1.6 Routine,Routines On-The-Run,"<p><span style=""font-size: 16px"">The recommended routines will give you a guide as to how your day will look, however, we appreciate that you will still need to get out of the house and sometimes it will be during suggested nap times. It's important to note that after around 6 months of age, sleep on the go (in the pram/carrier/car seat) is usually less restorative and your baby will be more likely to wake after one sleep cycle and be difficult to get back to sleep. Because of this, the naps we suggest you offer while out and about are the <strong>first-morning nap</strong> and the <strong>third late afternoon nap</strong> (if your baby hasn't dropped it yet). These naps are great to offer on the go as we are not so focused on their length and it is generally ok if they have a shorter nap at these times. The third late afternoon nap is a tricky one to achieve as your baby reaches 7-8 months so this nap is perfectly fine to have anywhere, in fact, it is usually easier to get babies to have a brief nap in the pram, car, or carrier at this time.</span></p><p><span style=""font-size: 16px""><strong><em>FOCUS: The nap we want to focus on being the longest and most restorative is the lunchtime nap.</em></strong> This is because it helps keep on top of over-tiredness and sets you up for a better night. It is also the nap your baby will be having until they are around 3 years old, so teaching them now to have a longer nap here helps in the long term. As much as you can, offer the lunchtime nap at home in their cot and focus on resettling your baby if they wake early.</span></p><p><span style=""font-size: 16px"">**﻿To help your baby sleep while out and about during the day, try to recreate their sleep environment as much as possible:**</span></p><ul><li style=""font-size: 16px"">Darken the pram with a <em>breathable blackout cover</em>. Don't use a blanket as this doesn't usually provide enough darkness and the temperature in the pram can become dangerously high.</li><li style=""font-size: 16px""><em>Use the same white noise or nature sounds</em> that you use at home. There are many portable white noise machines available that run on batteries.</li><li style=""font-size: 16px"">If your baby is still swaddled and you want to encourage them to nap in the pram, <em>use the same swaddle</em> you do at home.</li><li style=""font-size: 16px"">If you do have to head out during your baby's lunchtime nap then on occasion it is ok to offer a longer morning nap and then 2 shorter naps later in the day, but just try not to make this a regular pattern. You might also notice your baby is more tired at bedtime so don't stretch them out, bring bedtime earlier.</li></ul><p><span style=""font-size: 16px"">**﻿If you are going out for dinner occasionally we recommend the following changes:**</span></p><ul><li style=""font-size: 16px"">If you are heading out to a restaurant then giving your baby a slightly longer 3rd nap (or a brief catnap if they have already dropped this nap) will allow you to push bedtime out a bit. If your baby falls asleep in the car on the way home then attempt to transfer them to their cot, however, if they wake up this is ok. Offer a small top-up feed and pop them to bed.</li><li style=""font-size: 16px"">If you are visiting family or friends and have access to a porta cot then treat your baby's bedtime the same as you usually would (minus the bath if this is too difficult). Try to recreate their usual sleep environment as much as possible. Make sure the room is as dark as possible, use your white noise/nature sounds, use the same swaddle or fitted cot sheet so it smells like home, and bring any comforters/dummies your baby uses at sleep time.</li></ul><p><br></p><div class=""se-component se-image-container __se__float-none""><figure><img src=""https://files.cdn.thinkific.com/file_uploads/331856/images/67b/ced/441/shutterstock_1686532744.jpg"" alt="""" data-rotate="""" data-proportion=""true"" data-size="","" data-align=""none"" data-percentage=""auto,auto"" data-file-name=""shutterstock_1686532744.jpg"" data-file-size=""0"" origin-size=""5040,3360"" data-origin="","" style=""""></figure></div>",
1.6 Routine,What To Do If My Baby Wakes Early From a Nap?,"<h3><span style=""font-size: 16px"">If your baby wakes early from a nap, then:</span></h3><ol><li style=""font-size: 16px""><strong>Resettle them</strong> using your settling technique (I'll talk you through these in section 1.8 Settling &amp; Calming Babies), or</li><li style=""font-size: 16px""><strong>Continue the rest of the nap as an Assisted Nap.</strong></li></ol><p><span style=""font-size: 16px"">At this age, we want to keep on top of overtiredness, so even if they’ve done the first part of the nap in their cot/bassinet and the rest is assisted, this is okay.</span></p><h3><span style=""font-size: 16px"">What are assisted naps?</span></h3><p><span style=""font-size: 16px"">An assisted nap is exactly that—it’s a nap where you assist your baby to sleep. They can be in the:</span></p><ol><li style=""font-size: 16px""><strong>Pram</strong></li><li style=""font-size: 16px""><strong>Carrier</strong></li><li style=""font-size: 16px""><strong>Being held</strong></li></ol><p><span style=""font-size: 16px"">Assisted naps are <strong>very useful</strong> in the age group of <strong>4–16 weeks</strong>—helping keep the day on track if they wake early while you're establishing a routine, as well as managing overtiredness. After about <strong>4 months</strong>, I don’t recommend relying on these and instead focus on resettling in the cot.</span></p><h3><span style=""font-size: 16px"">I'm a HUGE fan of assisted carrier naps for little babies who wake early, because:</span></h3><ul><li style=""font-size: 16px"">When your baby is close to you, they’ll almost instantly resettle.</li><li style=""font-size: 16px"">You have your arms and legs free, so you can still do quite a bit—which is good for both your physical and mental well-being.</li></ul><h3><span style=""font-size: 16px""><strong>Important Safety Notes for Assisted Naps:</strong></span></h3><h4><span style=""font-size: 16px""><strong>Car naps:</strong></span></h4><p><span style=""font-size: 16px"">Car naps are often considered a type of assisted nap, but <strong>Red Nose does not recommend</strong> using these. Always monitor a baby sleeping in the car closely due to the risk of breathing issues if their chin is in the wrong position.</span></p><h4><span style=""font-size: 16px""><strong>Carrier naps:</strong></span></h4><p><span style=""font-size: 16px"">Always follow the <strong>TICKS</strong> rules:</span></p><ul><li style=""font-size: 16px""><strong>T</strong>ight</li><li style=""font-size: 16px""><strong>I</strong>n view at all times</li><li style=""font-size: 16px""><strong>C</strong>lose enough to kiss</li><li style=""font-size: 16px""><strong>K</strong>eep their chin off their chest</li><li style=""font-size: 16px""><strong>S</strong>upported back</li></ul><p><span style=""font-size: 16px"">Never fall asleep in a chair or lie down with your baby in a carrier.</span></p><h4><span style=""font-size: 16px""><strong>Being held by you:</strong></span></h4><p><span style=""font-size: 16px"">The term <em>""nap trapped""</em> is real—when you have a baby sleeping on you, it’s impossible to do much else other than snuggling them. While this can be <strong>beautiful occasionally</strong>, it can be <strong>debilitating long term</strong>. I don’t recommend these too often, and it’s essential that you stay <strong>awake and alert</strong>, as falling asleep is a huge safety risk.</span></p>",
1.6 Routine,Should I Wake My Baby From Their Nap?,"<h3><span style=""font-size: 16px""><strong>Yes, you can absolutely wake a baby!</strong></span></h3><h4><span style=""font-size: 16px""><strong>Waking your baby:</strong></span></h4><ul><li style=""font-size: 16px"">Around the same time each morning, or</li><li style=""font-size: 16px"">If they are oversleeping on a particular nap</li></ul><p><span style=""font-size: 16px"">Waking your baby will help them establish a routine faster and improve overnight sleep, as too much daytime sleep can impact those long stretches overnight.</span></p><p><span style=""font-size: 16px"">The <strong>morning nap</strong> is the nap your baby is most likely to oversleep for, as they will see it as a continuation of overnight sleep. While it’s tempting to let your baby keep sleeping, this may put the whole day out of whack.</span></p><h3><span style=""font-size: 16px""><strong>How best to wake a sleeping baby?</strong></span></h3><p><span style=""font-size: 16px"">Whatever sleep you are waking them from, introducing a <strong>Happy Wake Up</strong> will help your baby learn to distinguish when it is time to go back to sleep and when it is time to wake up.</span></p><h3><span style=""font-size: 16px""><strong>A Happy Wake Up includes:</strong></span></h3><ul><li style=""font-size: 16px"">Quietly entering the room and gently waking your baby up</li><li style=""font-size: 16px"">Opening the blinds or turning on a light</li><li style=""font-size: 16px"">Gently saying a wake-up greeting</li></ul><p><span style=""font-size: 16px"">I like to sing a song:<br><strong>""Good morning, good morning, good morning to you, good morning baby XX-XX, cocka-doodle-do!""</strong></span></p><ul><li style=""font-size: 16px"">Then, make a big fuss with lots of over-the-top praise about what a good sleep they had!</li></ul><p><span style=""font-size: 16px"">Your baby will learn that quiet, sleepy words in the dark, such as <strong>""night night, it's sleep time,""</strong> mean it’s time to go back to sleep, while a <strong>Happy Wake Up</strong> with lights means it’s time to get up.</span></p>",
1.6 Routine,How To Navigate an Unplanned Nap,"<p><span style=""font-size: 16px"">If your baby falls asleep as you’re walking home in the pram or in the car (these are the most likely scenarios) <strong><em>try and keep them awake and stimulated as much as possible</em></strong>.</span></p><ul><li style=""font-size: 16px"">If there’s a passenger in the car tickle their chin</li><li style=""font-size: 16px"">Wind the windows down and let in some fresh air</li><li style=""font-size: 16px"">If they are in the pram - have them face you so you can keep them engaged</li><li style=""font-size: 16px"">You may look deranged in the front seat or walking along…but if you know you know …sometimes all you need is an extra 5 minutes to get home and you know they’ll sleep the full 2 hours…PLEASE STAY AWAKE LITTLE ONE!!</li></ul><p><span style=""font-size: 16px""><strong><em>If they do nod off it’s not the end of the world - at this age it depends on if they're having 1 or 2 naps and what time of the day this unplanned nap happens.</em></strong><br></span></p><p><span style=""font-size: 16px""><strong><em>OPTION 1: If the nap happens in the morning and you were trialling them on just a lunchtime nap, let them have a brief 15min morning nap and push the lunchtime nap out by 30-60mins. ie. Your toddler fell asleep unexpectedly at 10.30am. Wake them at 10.45am and offer them a second, longer nap at around 1.30/1.45pm.&nbsp;</em></strong></span></p><p><span style=""font-size: 16px""><strong><em><br></em></strong></span></p><p><span style=""font-size: 16px""><strong><em>OPTION 2: If your toddler falls asleep unexpectedly in the afternoon (ie. 4pm or later), try to wake them and keep them awake and do an early bedtime, however if they've fallen asleep for a brief time you might need to push bedtime slightly later by 30-45mins.&nbsp;</em></strong></span></p>",
1.6 Routine,FAQs – Routine,"<p><span style=""font-size: 16px""><strong>Q: My child needs to drop their nap but how do I stop them from becoming so tired and cranky by the afternoon?</strong></span></p><p><span style=""font-size: 16px"">ANS: It’s normal during any nap transition for there to be an adjustment period and some increased tiredness. With tiredness of course comes cranky and grumpy kids, but if their night sleep is being affected then I still recommend dropping the day nap. Try your best to push them through but after lunch make sure they do have some quiet time. This might be reading stories, doing some quiet drawing or building blocks or even watching a movie. If they are super tired and cranky by dinnertime then bring their evening routine forward. Try dinner at 4.45pm, bath at 5.15pm and bedtime by 6/6.15pm. Push through for a few days and they will quickly adjust to their new routine and be sleeping more soundly at night.</span><br></p><p><span style=""font-size: 16px""><strong>Q: My child is fighting bed-time in the evening. How do I get them to go to sleep earlier?</strong><br>ANS: If your child is fighting going to bed this is a sign that they are ready to either have their day nap capped back or dropped completely. If they still have a nap of 1hr+ then start capping it back to as little as 30-40mins with a bedtime of 7pm. If bedtime is still an issue with a reduced nap time then drop it completely and bring bedtime a little earlier until they adjust through the transition. Some sleep training may also need to happen if the bedtime battles have been going on for a while. Please see our settling techniques and choose one you feel will suit your child and family and also one you can stay consistent with.</span></p><p><span style=""font-size: 16px""><strong>Q: I have to work and can’t get my child into bed early with childcare pick up/dinner/bath routine. How do I go about this?</strong><br>ANS: You just have to do your best here! Sometimes life throws us crazy days and we can’t always get our children into bed when we’d like to. However on the days you can I recommend aiming for a bedtime as per my routine as a well-rested child is one that will cope better when the schedule is thrown off sometime.</span></p><p><span style=""font-size: 16px""><strong>Q: We follow your routine but my child is now crying at bedtime for 20-30mins and taking longer to go to sleep. Is this normal and what can we do to fix it?</strong><br>ANS: As your child gets older they are better at coping with a longer awake time between the end of their lunchtime nap and bedtime. Usually, it is around 5 - 5.5 hours for a 2 - 3 year old if still having a day nap. If your child has recently started protesting more at bedtime and taking longer to fall asleep it is a sign to extend their awake time here, starting with 15 min increments. However, if they are waking late from their lunchtime nap (ie. around 3pm and needing a 5 - 5.5 hour awake time), the best option is to cut the nap back so they are having a shorter nap/waking earlier and then into bed for the night at an earlier, more age-appropriate time.</span></p>",
1.6 Routine,Routine for Babies Who Feed 3 Hourly,"<p><span style=""font-size: 16px"">​<br></span></p><p style=""line-height: 1.375rem""><span style=""font-size: 16px""><strong><u>SUGGESTED ROUTINE FOR 6-12 WEEK OLD BABIES WHO ARE FEEDING 3 HOURLY&nbsp;</u></strong></span></p><p style=""line-height: 1.375rem""><span style=""font-size: 16px"">For babies who are smaller and not quite 5-6 kg yet, or for babies who are struggling to stretch to 3.5-4 hourly feeds, this is a suggested routine that gives parents and caregivers something to work their day around. Remember however that for babies this age, everyday will look different and it's VERY normal for them to not link sleep cycles yet. Everything you're doing now is helping to teach your baby to love their sleep and setting them up for healthy sleep in the future.&nbsp;</span></p><p style=""line-height: 1.375rem""><span style=""font-size: 16px"">This routine is based on 3 hourly feeds and 4 naps in the day. Because it includes an extra nap, the length of the naps has been shortened to ensure your baby isn't having too much day sleep, which can then go on to affect night sleep.&nbsp;</span></p><p style=""line-height: 1.375rem""><span style=""font-size: 16px"">You DO NOT have to follow this routine if you're happy feeding 3 hourly (or on demand) and being aware of your baby's age appropriate awake times and watching their tired signs for nap time.&nbsp;</span></p><p style=""line-height: 1.375rem""><span style=""font-size: 16px""><br></span></p><p style=""line-height: 1.375rem""><span style=""font-size: 16px""><strong>7am&nbsp;</strong>awake and feed</span></p><p style=""line-height: 1.375rem""><span style=""font-size: 16px""><strong>8.30/8.45am&nbsp;</strong>Nap 1 for 1-1.5 hours</span></p><p style=""line-height: 1.375rem""><span style=""font-size: 16px""><strong>10am&nbsp;</strong>awake and feed</span></p><p style=""line-height: 1.375rem""><span style=""font-size: 16px""><strong>11.30/11.45am&nbsp;</strong>Nap 2 for 1-1.5 hours</span></p><p style=""line-height: 1.375rem""><span style=""font-size: 16px""><strong>1pm&nbsp;</strong>awake and feed</span></p><p style=""line-height: 1.375rem""><span style=""font-size: 16px""><strong>2.30/2.45pm&nbsp;</strong>Nap 3 for 40-60 mins</span></p><p style=""line-height: 1.375rem""><span style=""font-size: 16px""><strong>3.30/3.45pm&nbsp;</strong>awake (if your baby wakes before 4pm then go ahead and have some mat or play time)</span></p><p style=""line-height: 1.375rem""><span style=""font-size: 16px""><strong>4pm&nbsp;</strong>feed</span></p><p style=""line-height: 1.375rem""><span style=""font-size: 16px""><strong>5/5.15pm&nbsp;</strong>Nap 4 for 40- 60 mins</span></p><p style=""line-height: 1.375rem""><span style=""font-size: 16px""><strong>6pm&nbsp;</strong>half feed</span></p><p style=""line-height: 1.375rem""><span style=""font-size: 16px""><strong>6.30pm&nbsp;</strong>bath</span></p><p style=""line-height: 1.375rem""><span style=""font-size: 16px""><strong>7pm&nbsp;</strong>remaining half feed and bedtime&nbsp;</span></p><p style=""line-height: 1.375rem""><span style=""font-size: 16px""><em>Option 2</em>: You don't have to offer half feeds at 6pm, you can get your baby up from the nap at 6pm, offer play time and bath time and then offer a full feed at 6.45/7pm instead.</span></p><p style=""line-height: 1.375rem""><span style=""font-size: 16px""><br></span></p><p style=""line-height: 1.375rem""><span style=""font-size: 16px"">Over time, you can continue trying to help your baby get to 4 hourly feeds and the suggested 6-12 or 12-16 week routines found earlier in the program.&nbsp;</span></p><p style=""line-height: 1.375rem""><br></p>",
1.7 Sleep Cycles,Circadian Rhythms,"<p><span style=""font-size: 16px"">A circadian rhythm is the body’s natural sleep-wake cycle, lasting 24 hours. The main hormone involved in this process is melatonin. Light drives our melatonin levels down, and darkness allows it to rise. This rise in melatonin is what makes us sleepy and helps us drift off to sleep each night. As light increases in the morning, cortisol begins to circulate, which is like our body’s natural coffee hit, driving wakefulness. </span></p><p><span style=""font-size: 16px"">Babies mostly rely on their mother’s circadian rhythm but need to develop their own soon after birth. It is well established by 3 months of age, and there are many things you can do to help this process.</span></p>",
1.7 Sleep Cycles,Circadian Rhythms,"<p><span style=""font-size: 16px"">A circadian rhythm is the body’s natural sleep-wake cycle, lasting 24-hours. The main hormone involved in this process is melatonin. Light drives our melatonin levels down, and darkness allows it to rise. This rise in melatonin is what makes us sleepy and helps us drift off to sleep each night. As light increases in the morning, cortisol begins to circulate, which is like our body’s natural coffee hit, driving wakefulness. Babies mostly rely on their mother’s circadian rhythm but need to develop their own soon after birth. It is well established by 3 months of age and there are many things you can do to help this process.</span></p><ul><li style=""font-size: 16px""><p>Expose children to the business of a day routine and the calm of night time. This includes exposing them to daylight, ensuring they hear noises and feel movement. At night, ensure lighting is minimal, sounds are quiet and soothing, and a warm, relaxing bath is a lovely sleep association to create.</p></li><li style=""font-size: 16px""><p>Engage in a repetitive rhythm as soon as possible, to drive the establishment of a routine. Try to maintain as much consistency as possible.</p></li><li style=""font-size: 16px""><p>Through breastfeeding (where possible) and via certain solid food, try to increase your baby’s intake of tryptophan. This encourages the production of melatonin.</p></li><li style=""font-size: 16px""><p>Avoid excessive stimulation in the late evening or for any overnight awakenings. Keep feeds quiet, calm and make sure the room is dimly lit - to encourage your baby to learn the difference between night and day. Doing this will also maximise the chances of dropping overnight feeds, instead of long day time sleeps and feeding clusters in the evening.</p></li><li style=""font-size: 16px""><p>Don’t pick your baby up if they are making sounds/movements but remain asleep. This usually means they’re cycling through non-REM sleep. Babies can be very active and noisy throughout their sleeps, be mindful not to stimulate them awake, when they are capable of returning to deep sleep by themselves.</p></li></ul><p><span style=""font-size: 16px"">A baby’s sleep cycle of 45 minutes quickly elongates to resemble that of an adult (90 minutes) throughout childhood. They will naturally shift between light and deep sleep, just as we do. Deep sleep - or REM (rapid eye movement) - makes up half of a newborn’s total sleep time, but this decreases as they get older, so they are less and less likely to sleep deep, through noises, light, etc. Premature babies have a much higher ratio of REM to non-REM sleep, meaning they are likely to sleep almost all the time, other than waking for feeds. During the sleep training process it is very normal for your baby’s night sleep to consolidate first. This can mean day naps are a bit tougher for a few days, and this is just your baby adapting to now having more overnight sleep than they are probably used to. My number 1 piece of advice is to stick with it and naps will then also consolidate.</span></p>",
1.7 Sleep Cycles,Circadian Rhythms,"<p><span style=""font-size: 16px""><strong>A circadian rhythm</strong> is the body’s natural sleep-wake cycle, lasting 24 hours. The main hormone involved in this process is melatonin. Light drives our melatonin levels down, and darkness allows it to rise. This rise in melatonin is what makes us sleepy and helps us drift off to sleep each night. As light increases in the morning, cortisol begins to circulate, which is like our body’s natural coffee hit, driving wakefulness. Babies mostly rely on their mother’s circadian rhythm but need to develop their own soon after birth. It is well established by 3 months of age, and there are many things you can do to help this process.</span></p><ul><li style=""font-size: 16px""><p>Expose children to the business of a day routine and the calm of nighttime. This includes exposing them to daylight, ensuring they hear noises and feel movement. At night, ensure lighting is minimal, sounds are quiet and soothing, and a warm, relaxing bath is a lovely sleep association to create.</p></li><li style=""font-size: 16px""><p>Engage in a repetitive rhythm as soon as possible to drive the establishment of a routine. Try to maintain as much consistency as possible.</p></li><li style=""font-size: 16px""><p>Through breastfeeding (where possible) and via certain solid foods, try to increase your baby’s intake of tryptophan. This encourages the production of melatonin.</p></li><li style=""font-size: 16px""><p>Avoid excessive stimulation in the late evening or for any overnight awakenings. Keep feeds quiet, calm, and make sure the room is dimly lit to encourage your baby to learn the difference between night and day. Doing this will also maximize the chances of dropping overnight feeds, instead of long daytime sleeps and feeding clusters in the evening.</p></li><li style=""font-size: 16px""><p>Don’t pick your baby up if they are making sounds/movements but remain asleep. This usually means they’re cycling through non-REM sleep. Babies can be very active and noisy throughout their sleeps, so be mindful not to stimulate them awake when they are capable of returning to deep sleep by themselves.</p></li></ul><p><span style=""font-size: 16px"">A baby’s sleep cycle of 45 minutes quickly elongates to resemble that of an adult (90 minutes) throughout childhood. They will naturally shift between light and deep sleep, just as we do. Deep sleep - or REM (rapid eye movement) - makes up half of a newborn’s total sleep time, but this decreases as they get older, so they are less and less likely to sleep deeply through noises, light, etc. Premature babies have a much higher ratio of REM to non-REM sleep, meaning they are likely to sleep almost all the time, other than waking for feeds.</span></p><p><span style=""font-size: 16px"">During the sleep training process, it is very normal for your baby’s night sleep to consolidate first. This can mean day naps are a bit tougher for a few days, and this is just your baby adapting to now having more overnight sleep than they are probably used to. My number 1 piece of advice is to stick with it, and naps will then also consolidate.</span></p>",
1.7 Sleep Cycles,Circadian Rhythms,"<p><span style=""font-size: 16px""><strong>A circadian rhythm</strong> is the body’s natural sleep-wake cycle, lasting 24-hours. The main hormone involved in this process is melatonin. Light drives our melatonin levels down, and darkness allows it to rise. This rise in melatonin is what makes us sleepy and helps us drift off to sleep each night. As light increases in the morning, cortisol begins to circulate, which is like our body’s natural coffee hit, driving wakefulness. Babies mostly rely on their mother’s circadian rhythm but need to develop their own soon after birth. It is well established by 3 months of age and there are many things you can do to help this process.</span></p><ul><li style=""font-size: 16px"">Expose children to the business of a day routine and the calm of night time. This includes exposing them to daylight, ensuring they hear noises and feel movement. At night, ensure lighting is minimal, sounds are quiet and soothing, and a warm, relaxing bath is a lovely sleep association to create.</li><li style=""font-size: 16px"">Engage in a repetitive rhythm as soon as possible, to drive the establishment of a routine. Try to maintain as much consistency as possible.</li><li style=""font-size: 16px"">Through breastfeeding (where possible) and via certain solid food, try to increase your baby’s intake of tryptophan. This encourages the production of melatonin.</li><li style=""font-size: 16px"">Avoid excessive stimulation in the late evening or for any overnight awakenings. Keep feeds quiet, calm and make sure the room is dimly lit - to encourage your baby to learn the difference between night and day. Doing this will also maximise the chances of dropping overnight feeds, instead of long day time sleeps and feeding clusters in the evening.</li><li style=""font-size: 16px"">Don’t pick your baby up if they are making sounds/movements but remain asleep. This usually means they’re cycling through non-REM sleep. Babies can be very active and noisy throughout their sleeps, be mindful not to stimulate them awake, when they are capable of returning to deep sleep by themselves.</li></ul><p><span style=""font-size: 16px"">A baby’s sleep cycle of 45 minutes quickly elongates to resemble that of an adult (90 minutes) throughout childhood. They will naturally shift between light and deep sleep, just as we do. Deep sleep - or REM (rapid eye movement) - makes up half of a newborn’s total sleep time, but this decreases as they get older, so they are less and less likely to sleep deep, through noises, light, etc. Premature babies have a much higher ratio of REM to non-REM sleep, meaning they are likely to sleep almost all the time, other than waking for feeds. During the sleep training process it is very normal for your baby’s night sleep to consolidate first. This can mean day naps are a bit tougher for a few days, and this is just your baby adapting to now having more overnight sleep than they are probably used to. My number 1 piece of advice is to stick with it and naps will then also consolidate.</span></p>",
1.7 Sleep Cycles,How to Encourage Healthy Sleep Cycles,"<div class=""markdown prose w-full break-words dark:prose-invert light""><ul><li><p><span style=""font-size: 16px"">Expose children to the busyness of a day routine and the calm of nighttime. This includes exposing them to daylight, ensuring they hear noises and feel movement. At night, ensure lighting is minimal, sounds are quiet and soothing, and a warm, relaxing bath is a lovely sleep association to create.</span></p></li><li style=""font-size: 16px""><p>Engage in a repetitive rhythm as soon as possible to drive the establishment of a routine. It’s difficult to alter circadian rhythms, as you may have experienced when changing time zones and feeling ‘jet lagged’ or when working a night shift.</p></li><li style=""font-size: 16px""><p>Breastfeeding in the evening and through the night (where possible) increases the baby’s intake of tryptophan. This is contained in breastmilk and encourages the production of melatonin.</p></li><li style=""font-size: 16px""><p>Avoid excessive stimulation overnight. Keep feeds quiet and calm, and make sure the room is dimly lit to encourage your baby to learn the difference between night and day. Doing this will maximize the chances of dropping overnight feeds, instead of long daytime sleeps and feeding clusters in the evening.</p></li><li style=""font-size: 16px""><p>Don’t pick your baby up if they are making sounds or movements but remain asleep. This usually means they’re cycling through non-REM sleep. Babies can be very active and noisy throughout their sleeps, so be mindful not to stimulate them awake when they are capable of returning to deep sleep by themselves.</p></li></ul></div><div><div><div><svg><path></path></svg><div><svg><path></path></svg><svg><path></path></svg></div><svg><path></path></svg><svg><path></path><path></path><path></path></svg><div><svg><path></path></svg>4o</div></div></div></div>",
